,class,tweet
13,1,calls middle school build wall chant
14,1,comment
17,1,agree
23,1,lumpy says prove lumpy
34,1,unbelievable century need something like
56,1,lets fight
68,1,white establishment blk folx running around loving promoting greatness
77,1,hey white people call people white
82,1,uses insecurity lure men
111,1,interested address racism
114,1,mocked obama black
131,1,protesting trump fuhered
151,1,yes call gorilla racists long thought black people
156,1,smaller hands show barry probably lied game sucked
167,1,point one finger millions pointed right back
192,1,might libtard
210,1,take america voted voted voted
232,1,hold open door woman woman nice thing even try deny
263,1,man ran governor ny state biggest african american population
264,1,offer solutions create old repetitive
269,1,passed many times said nothing
313,1,horribly ads made us cringe
321,1,dying light village green
332,1,never answered statement found
354,1,might libtard
362,1,trump ny co chair makes racist remarks michelle obama
374,1,pic says otherwise young girls confined kitchen void meaning beyond cheap publicity
405,1,blocked troll promise let nonsensical rants
425,1,nazis studied american race laws inspiration
432,1,absolutely originated hateful hatred african american
443,1,fo woh officer viral arrest video chief
486,1,discussing republicans thing critiquing ignore consequences
498,1,feel like stomping
515,1,familiar become difficult stereotype
526,1,anti racist codeword antiwhite asia asians africa africans white countries
531,1,police police consent decree
544,1,prevent
550,1,girls world sexy mature housewife
558,1,like slogan talk
569,1,ignored
571,1,fox new coming saying bluntly one things read
579,1,yes lets suppoing openly advocates
609,1,porn vids wwwsmallgirlsexcom
617,1,latest obsidian radio daily thanks
621,1,might libtard
622,1,overwhelming evidence company keeps echoes sentiments ideals
649,1,nigger white kid grew
692,1,carolyn cooper ugly poor ignorant black
733,1,definitely mexican
735,1,standing racism hate americad curse congress haters deplorable
746,1,used win white house presses attack khan family g p leaders
749,1,everytime wear soccer shis joie fries says look mexican fuck
763,1,danger white liberalism oveurning applies liberal men feminism
771,1,great aicle right money
780,1,thank power
790,1,keep telling aryans allowed rape women troll
793,1,minute condemn comments
795,1,vps got multi million dollar bonuses average americans lost homes
802,1,jan interested affected criminal justice system
804,1,keep opposition
811,1,guess talking progress advancement
815,1,jake right many ppl lack power take stand drown small minded oft evil tendencies past
826,1,possible speak topic without bringing race bigot
831,1,incredibly obama impression
860,1,black professor makes assumptions entire race whilst speaking entire race next week jews
863,1,call us really saying jealous us
879,1,liked video retard wants
889,1,msg business end
912,1,non stop election blame hiding years pittsburgh california
916,1,protesting trump fuhered
933,1,racism people based race justify open
979,1,next best seller book
984,1,forget research shows sexist men psychological problems
987,1,im attracted asian ppl bc im asian tell im attracted u bc im inse race hoe
994,1,defines historically historic
1002,1,latest volatile daily thanks
1006,1,radicalism countered terrorists see us inhumans free judge color
1039,1,look passionate plane yet ignore
1047,1,todays donkey proud murdering real palestinian semitic children thats
1079,1,fn seeking rid anti semitic xenophobic image majority sympathisers still describe
1108,1,happy family get incessant thin veiled gay minorities
1116,1,racist intent guy joking
