,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,0,3,0,0,3,2,as woman complain cleaning house man always take trash
1,1,3,0,3,0,1,boy dats cold tyga dwn bad cuffin dat hoe place
2,2,3,0,3,0,1,dawg you ever fuck bitch start cry you confused shit
3,3,3,0,2,1,1,look like tranny
4,4,6,0,6,0,1,the shit hear might true might faker bitch told ya
5,5,3,1,2,0,1,the shit blows claim faithful somebody still fucking hoes
6,6,3,0,3,0,1,i sit hate another bitch i got much shit going
7,7,3,0,3,0,1,cause i tired big bitches coming us skinny girls
8,8,3,0,3,0,1,might get ya bitch back thats
9,9,3,1,2,0,1,hobbies include fighting mariam bitch
10,10,3,0,3,0,1,keeks bitch curves everyone lol i walked conversation like smh
11,11,3,0,3,0,1,murda gang bitch gang land
12,12,3,0,2,1,1,so hoes smoke losers yea go ig
13,13,3,0,3,0,1,bad bitches thing like
14,14,3,1,2,0,1,bitch get
15,15,3,0,3,0,1,bitch nigga miss
16,16,3,0,3,0,1,bitch plz whatever
17,17,3,1,2,0,1,bitch love
18,18,3,0,3,0,1,bitches get cut everyday b
19,19,3,0,3,0,1,black bottle bad bitch
20,20,3,0,3,0,1,broke bitch cant tell nothing
21,21,3,0,3,0,1,cancel bitch like nino
22,22,3,0,3,0,1,cant see hoes wont change
23,23,3,0,3,0,1,fuck bitch dont even suck dick kermit videos bout fuck ig
24,24,3,0,3,0,1,got ya bitch tip toeing hardwood floors
25,25,3,0,2,1,1,pussy lips like heaven doors
26,26,3,0,3,0,1,hoe hitting
27,27,3,0,3,0,1,met pussy ocean dr gave pussy pill
28,28,3,0,3,0,1,need trippy bitch fuck hennessy
29,29,3,0,3,0,1,spend money want bitch business
30,30,3,0,3,0,1,txt old bitch new bitch pussy wetter
31,31,3,0,3,0,1,say im back old old bitches would get excited
32,32,3,0,3,0,1,aint bout murder game pussy nigga shut
33,33,3,0,3,0,1,toes done pussy stinks
34,34,3,0,3,0,1,im done bitter bitches wrap angry bird theres app
35,35,3,0,3,0,1,ya bitch
36,36,3,0,3,0,1,aint nothing cut bitch
37,37,3,0,3,0,1,jus meet son ya mane ass bitches
38,38,3,0,2,1,1,lames crying hoes thats tears clown
39,39,3,0,3,0,1,like snoop said dont love hoes
40,40,3,0,1,2,2,momma said pussy cats inside doghouse
41,41,3,0,3,0,1,hated hoes favorite
42,42,3,0,3,0,1,nice girls bad make get naughty bad yello hoe real nice body down south chick like em real thick
43,43,3,0,3,0,1,pimps pimps hoes future voice
44,44,3,0,3,0,1,post picture pussy get likes
45,45,3,0,3,0,1,pussy powerful drug
46,46,3,0,3,0,1,quick piece pussy call drive
47,47,3,0,3,0,1,running round like brand new pussy thats bout get fucked
48,48,3,0,3,0,1,bitches even worst send guys
49,49,3,1,2,0,1,hoes like niggas spend money talk bout
50,50,3,1,2,0,1,dont trust niggas bitches
51,51,3,0,3,0,1,yall niggas b cuffing hoes cause yall aint never bitches
52,52,3,0,3,0,1,dodge bullet all da bitches i cut pregnant bound thank god
53,53,3,0,3,0,1,young pill chamberlain bitches love music
54,54,3,0,2,1,1,teanna trump probably cleaner twitter hoes
55,55,3,0,3,0,1,gay niggas wait act like bitches tonight
56,56,3,0,3,0,1,and ima steal cat n replace pitbull he bitch
57,57,3,0,3,0,1,gone always hoe
58,58,3,0,3,0,1,son bitch took tic tacs i like movie
59,59,3,0,3,0,1,all i wanna get money fuck model bitches russell simmons
60,60,3,0,2,1,1,i probably mind school much deal bitch ass teachers
61,61,3,0,3,0,1,i fucking fag said
62,62,3,0,3,0,1,females think dating pussy cute stuff make pussy
63,63,3,0,0,3,2,simplyaddictedtoguys woof woof hot scally lad
64,64,3,0,3,0,1,have ya ever asked bitch bitches kanye voice yes
65,65,3,0,3,0,1,how u gone bring ur side bitch game you know ya gf friends i swear
66,66,3,0,1,2,2,woof woof hot soles
